FileName	avg_silence_duration(ms)	avg_syllable_duration(ms)	avg_sylls_freq_modulation(Hz)	avg_sylls_lower_freq(Hz)	avg_sylls_upper_freq(Hz)	bout_duration(ms)	largest_silence_duration(ms)	largest_syllable_duration(ms)	largest_sylls_freq_modulation(Hz)	max_sylls_freq(Hz)	mean_syllable_stereotypy	min_sylls_freq(Hz)	num_syllable_per_bout_duration(1/ms)	num_syllables	num_syllables_per_num_unique	num_unique_syllables	overall_sylls_freq_range(Hz)	sequential_repetition	smallest_silence_duration(ms)	smallest_syllable_duration(ms)	smallest_sylls_freq_modulation(Hz)	std_silence_duration(ms)	std_syllable_duration(ms)	std_syllable_stereotypy	std_sylls_freq_modulation(Hz)	syll_correlation_threshold	syllable_pattern	syllable_stereotypy
SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180409_161600_clip.gzip	296.40211640211635	422.31746031746025	3017.3684210526317	4792.543859649123	7766.929824561403	6890.79365079365	484.4444444444444	693.6507936507936	6017.543859649123	9800.0		2664.9122807017543	0.0014512116465493414	10	1.0	10	7178.070175438596	0.0	110.15873015873015	192.69841269841268	472.8070175438596	137.22366813710295	166.8337148905348		2109.9672833971285	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_S4A06622_20180722_170100_clip.gzip	296.5432098765432	421.93650793650784	3038.859649122807	4775.350877192984	7771.228070175439	6888.253968253968	484.4444444444444	685.0793650793651	5888.59649122807	9800.0		2621.9298245614036	0.0014517467047654162	10	1.0	10	7221.0526315789475	0.0	109.2063492063492	192.69841269841268	515.7894736842105	138.24362074196745	165.90854365814482		2060.474721292049	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_001.gzip	296.4726631393298	422.2222222222222	3013.0701754385964	4796.842105263158	7766.929824561403	6890.47619047619	485.07936507936506	693.6507936507936	5974.561403508772	9800.0		2664.9122807017543	0.0014512785072563926	10	1.0	10	7178.070175438596	0.0	109.52380952380952	192.69841269841268	472.8070175438596	137.35015605273574	166.80397468165353		2103.20946167288	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_10_WhiteNoise_01.gzip	296.1199294532628	422.44444444444446	3017.3684210526317	4792.543859649123	7766.929824561403	6889.523809523809	486.98412698412693	699.047619047619	5974.561403508772	9800.0		2664.9122807017543	0.001451479126347802	10	1.0	10	7178.070175438596	0.0	111.42857142857142	193.015873015873	472.8070175438596	137.30954906522078	167.5185451732444		2096.0087694314316	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_11_S4A06622_20180409_161600_clip.gzip	363.1040564373898	419.14285714285705	2200.7017543859647	5016.052631578947	7173.77192982456	7459.365079365079	543.8095238095237	681.9047619047618	5286.8421052631575	9842.982456140351		2020.1754385964912	0.0013405966719155639	10	1.0	10	7865.789473684211	0.0	82.85714285714285	159.36507936507937	429.82456140350877	162.97010051022198	174.7649755363621		2008.0777080405426	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_11_S4A06622_20180722_170100_clip.gzip	362.50440917107585	419.8730158730159	2230.7894736842104	5003.157894736841	7190.964912280702	7461.269841269841	541.9047619047619	683.4920634920635	5286.8421052631575	9885.964912280702		2020.1754385964912	0.0013402544356039656	10	1.0	10	7908.771929824561	0.0	78.73015873015872	157.77777777777777	515.7894736842105	163.7524851818628	175.6975292686362		1991.4122356891296	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_11_WhiteNoise_001.gzip	363.17460317460313	419.0793650793651	2196.4035087719294	5016.052631578947	7169.473684210527	7459.365079365079	543.4920634920635	682.2222222222222	5286.8421052631575	9842.982456140351		2020.1754385964912	0.0013405966719155639	10	1.0	10	7865.789473684211	0.0	82.85714285714285	159.36507936507937	429.82456140350877	163.02066421607796	174.63186873408705		2000.7706207469555	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_11_WhiteNoise_01.gzip	363.8800705467372	418.44444444444446	2209.298245614035	5011.754385964913	7178.070175438596	7459.365079365079	543.8095238095237	681.9047619047618	5286.8421052631575	9885.964912280702		2020.1754385964912	0.0013405966719155639	10	1.0	10	7908.771929824561	0.0	84.12698412698413	159.04761904761904	472.8070175438596	162.8810262645751	174.35194046342312		1989.736463765883	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_12_S4A06622_20180409_161600_clip.gzip	363.49206349206344	450.66666666666663	1942.80701754386	4109.122807017545	6008.947368421053	7778.095238095238	568.8888888888889	630.4761904761905	4126.315789473684	8209.649122807017		2063.157894736842	0.0012856618097220522	10	1.0	10	6189.473684210527	0.0	70.15873015873015	253.65079365079364	472.8070175438596	166.77698540920417	129.18274769382822		1086.7754189296738	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_12_WhiteNoise_001.gzip	349.10052910052906	465.36507936507934	1998.684210526316	4091.929824561403	6047.631578947367	7795.555555555555	547.6190476190476	644.7619047619047	4212.2807017543855	8252.631578947368		2063.157894736842	0.001282782212086659	10	1.0	10	6232.456140350877	0.0	64.76190476190476	258.4126984126984	472.8070175438596	161.27468434172738	136.2486730365841		1124.912913804226	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_12_WhiteNoise_01.gzip	421.51675485008815	390.92063492063494	1641.9298245614034	4259.561403508773	5858.508771929825	7702.857142857142	691.1111111111111	597.7777777777777	3438.59649122807	8080.701754385965		2106.1403508771928	0.001298219584569733	10	1.0	10	6017.543859649123	0.0	96.5079365079365	240.95238095238093	386.8421052631579	186.27975083897965	107.5664576805903		920.9352751745582	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_13_S4A06622_20180409_161600_clip.gzip	299.2592592592593	489.4285714285714	2149.122807017544	4367.01754385965	6473.157894736843	7587.619047619047	468.88888888888886	781.2698412698412	4556.140350877193	9413.157894736842		1977.1929824561403	0.001317936488013054	10	1.0	10	7478.9473684210525	0.0	200.0	317.46031746031747	472.8070175438596	98.11539834958658	131.00760312855675		1396.6175239451043	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
SegSyllsOutput_SynSongs_amp100_30p_13_WhiteNoise_001.gzip	298.16578483245144	489.93650793650784	2140.5263157894738	4375.6140350877195	6473.157894736843	7582.857142857142	468.88888888888886	785.7142857142857	4556.140350877193	9413.157894736842		1977.1929824561403	0.0013187641296156746	10	1.0	10	7478.9473684210525	0.0	203.17460317460316	318.4126984126984	472.8070175438596	98.13603941335941	132.8975872899241		1394.2343915789297	70.0	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[]
